,M1,M2,M3,M4,M5,M6
j0101,14,13,0,20,14,11
j0102,0,6,7,9,8,7
j0103,11,14,16,9,0,16
j0104,16,21,17,20,23,17
j0105,0,18,19,21,18,19
j0201,7,12,9,5,11,9
j0202,9,13,18,12,6,18
j0203,8,0,9,8,7,9
j0204,12,5,9,15,6,9
j0205,19,0,19,16,16,21
j0301,5,6,12,20,8,12
j0302,7,14,11,0,9,11
j0303,5,4,5,6,7,5
j0304,6,7,0,0,9,0
j0305,11,7,7,9,13,10
j0401,20,0,25,19,14,25
j0402,26,13,0,24,14,25
j0403,16,18,23,0,23,25
j0404,0,13,23,24,18,18
j0405,11,14,10,13,9,0
j0501,0,14,23,18,25,15
j0502,20,8,9,0,12,19
j0503,16,17,23,18,22,0
j0504,10,8,9,10,8,13
j0505,15,18,25,0,20,22
j0601,6,10,19,20,0,12
j0602,0,8,6,5,5,13
j0603,20,17,0,22,21,17
j0604,13,13,13,0,11,10
j0605,14,15,21,23,14,18
j0701,16,0,18,19,17,25
j0702,14,15,0,26,0,20
j0703,5,11,12,10,5,9
j0704,20,13,24,0,24,23
j0705,19,25,0,13,25,19
j0801,21,0,18,20,18,15
j0802,0,21,25,0,25,20
j0803,14,18,17,16,19,22
j0804,12,0,14,11,10,10
j0805,0,21,0,19,17,13
j0901,13,11,11,0,10,0
j0902,7,19,13,12,0,20
j0903,20,22,16,0,19,19
j0904,12,12,13,13,7,10
j0905,26,20,0,17,0,18
j1001,19,16,19,20,0,21
j1002,9,10,0,9,0,10
j1003,9,8,0,7,5,5
j1004,25,24,22,18,0,20
j1005,25,16,0,25,22,17
