,M1,M2,M3,M4
j0101,20,15,18,0
j0102,7,5,8,6
j0103,12,10,0,8
j0104,14,10,12,11
j0201,11,16,27,22
j0202,25,23,21,20
j0203,22,18,16,17
j0204,23,19,0,19
j0301,27,0,20,23
j0302,15,13,16,12
j0303,16,0,5,9
j0304,0,5,7,7
j0401,0,5,5,0
j0402,9,5,0,6
j0403,14,5,6,7
j0404,13,12,16,0
j0501,0,15,13,17
j0502,11,16,14,13
j0503,7,0,6,7
j0504,8,11,13,0
j0601,0,6,12,9
j0602,23,19,17,18
j0603,11,20,0,23
j0604,6,0,10,18
j0701,14,10,15,19
j0702,6,0,9,14
j0703,14,11,15,13
j0704,18,16,20,15
j0801,9,7,5,0
j0802,10,9,12,6
j0803,20,18,13,19
j0804,14,12,15,0
j0901,11,0,13,14
j0902,9,0,12,11
j0903,9,12,14,16
j0904,21,0,15,11
j1001,14,13,0,20
j1002,0,6,7,9
j1003,11,14,16,9
j1004,16,21,17,20
j1101,7,12,9,5
j1102,9,13,18,12
j1103,8,0,9,8
j1104,12,5,9,15
j1201,5,6,12,20
j1202,7,14,11,0
j1203,5,4,5,6
j1204,6,7,0,0
