,M1,M2,M3,M4,M5,M6
j0101,20,15,18,0,14,18
j0102,7,5,8,6,5,0
j0103,12,10,0,8,7,8
j0104,14,10,12,11,8,9
j0105,10,15,13,20,10,0
j0201,11,16,27,22,16,14
j0202,25,23,21,20,22,21
j0203,22,18,16,17,14,12
j0204,23,19,0,19,15,0
j0205,0,12,9,6,6,9
j0301,27,0,20,23,16,0
j0302,15,13,16,12,0,5
j0303,16,0,5,9,11,6
j0304,0,5,7,7,6,6
j0305,9,10,9,10,8,10
j0401,0,5,5,0,4,16
j0402,9,5,0,6,7,13
j0403,14,5,6,7,5,14
j0404,13,12,16,0,9,6
j0405,18,0,25,18,17,20
j0501,0,15,13,17,18,13
j0502,11,16,14,13,0,12
j0503,7,0,6,7,8,13
j0504,8,11,13,0,9,0
j0505,11,5,5,11,0,12
j0601,0,6,12,9,14,13
j0602,23,19,17,18,21,0
j0603,11,20,0,23,12,11
j0604,6,0,10,18,13,7
j0605,17,15,6,0,9,18
j0701,14,10,15,19,0,16
j0702,6,0,9,14,5,0
j0703,14,11,15,13,18,23
j0704,18,16,20,15,17,0
j0705,17,20,16,17,0,16
j0801,9,7,5,0,6,13
j0802,10,9,12,6,5,11
j0803,20,18,13,19,18,11
j0804,14,12,15,0,15,12
j0805,11,8,10,19,8,0
j0901,11,0,13,14,16,10
j0902,9,0,12,11,0,8
j0903,9,12,14,16,0,9
j0904,21,0,15,11,9,7
j0905,5,6,13,0,11,5
j1001,14,13,0,20,14,11
j1002,0,6,7,9,8,7
j1003,11,14,16,9,0,16
j1004,16,21,17,20,23,17
j1005,0,18,19,21,18,19
j1101,7,12,9,5,11,9
j1102,9,13,18,12,6,18
j1103,8,0,9,8,7,9
j1104,12,5,9,15,6,9
j1105,19,0,19,16,16,21
j1201,5,6,12,20,8,12
j1202,7,14,11,0,9,11
j1203,5,4,5,6,7,5
j1204,6,7,0,0,9,0
j1205,11,7,7,9,13,10
j1301,20,0,25,19,14,25
j1302,26,13,0,24,14,25
j1303,16,18,23,0,23,25
j1304,0,13,23,24,18,18
j1305,11,14,10,13,9,0
j1401,0,14,23,18,25,15
j1402,20,8,9,0,12,19
j1403,16,17,23,18,22,0
j1404,10,8,9,10,8,13
j1405,15,18,25,0,20,22
j1501,6,10,19,20,0,12
j1502,0,8,6,5,5,13
j1503,20,17,0,22,21,17
j1504,13,13,13,0,11,10
j1505,14,15,21,23,14,18
j1601,16,0,18,19,17,25
j1602,14,15,0,26,0,20
j1603,5,11,12,10,5,9
j1604,20,13,24,0,24,23
j1605,19,25,0,13,25,19
j1701,21,0,18,20,18,15
j1702,0,21,25,0,25,20
j1703,14,18,17,16,19,22
j1704,12,0,14,11,10,10
j1705,0,21,0,19,17,13
j1801,13,11,11,0,10,0
j1802,7,19,13,12,0,20
j1803,20,22,16,0,19,19
j1804,12,12,13,13,7,10
j1805,26,20,0,17,0,18
j1901,19,16,19,20,0,21
j1902,9,10,0,9,0,10
j1903,9,8,0,7,5,5
j1904,25,24,22,18,0,20
j1905,25,16,0,25,22,17
j2001,11,5,0,8,9,10
j2002,21,17,20,0,24,18
j2003,10,8,14,0,8,13
j2004,0,10,0,9,18,14
j2005,7,12,10,0,11,7
